,user_handle,latest_interest_tag,delta_day_interest,number_of_distinct_interests,latest_assessment_tag,number_of_assessments,mean_score,count_views,number_of_beginner_course,number_of_intermediate_course,number_of_advanced_course,time_spent_beginner_course,time_spent_intermediate_course,time_spent_advanced_course,total_courses_time_spent
0,1.0,azure-deployment,0.0,70.0,Missing,0.0,0.0,8.0,4.0,3.0,1.0,11142.0,5042.0,102.0,16286.0
1,2.0,adobe,0.0,4.0,photoshop,1.0,139.0,153.0,59.0,54.0,40.0,111269.0,58440.0,58546.0,228255.0
2,3.0,deployment,0.0,48.0,Missing,0.0,0.0,3.0,2.0,1.0,0.0,319.0,265.0,0.0,584.0
3,4.0,data-analysis,0.0,6.0,java,1.0,169.0,26.0,12.0,14.0,0.0,26527.0,19333.0,0.0,45860.0
4,5.0,toon-boom-animate-pro,9.0,43.0,Missing,0.0,0.0,20.0,15.0,5.0,0.0,27575.0,1252.0,0.0,28827.0
5,6.0,mobile-device-management,0.0,16.0,Missing,0.0,0.0,18.0,3.0,13.0,2.0,6519.0,29347.0,4805.0,40671.0
6,7.0,information-security,0.0,12.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,machine-learning,0.0,1.0,Missing,0.0,0.0,5.0,4.0,1.0,0.0,4918.0,5312.0,0.0,10230.0
8,9.0,azure-deployment,0.0,6.0,azure-infrastructure-as-a-service,1.0,141.0,20.0,7.0,13.0,0.0,12593.0,17254.0,0.0,29847.0
9,10.0,design-patterns,0.0,5.0,jquery,1.0,184.0,77.0,24.0,49.0,4.0,33087.0,100398.0,2918.0,136403.0
